AL_EAXREVERB_REFLECTIONS_GAIN                       : 0009
AL_EAXREVERB_REFLECTIONS_DELAY                      : 000A
AL_EAXREVERB_REFLECTIONS_PAN                        : 000B
AL_EAXREVERB_LATE_REVERB_GAIN                       : 000C
AL_EAXREVERB_LATE_REVERB_DELAY                      : 000D
AL_EAXREVERB_LATE_REVERB_PAN                        : 000E
AL_EAXREVERB_ECHO_TIME                              : 000F
AL_EAXREVERB_ECHO_DEPTH                             : 0010
AL_EAXREVERB_MODULATION_TIME                        : 0011
AL_EAXREVERB_MODULATION_DEPTH                       : 0012
AL_EAXREVERB_AIR_ABSORPTION_GAINHF                  : 0013
AL_EAXREVERB_HFREFERENCE                            : 0014
AL_EAXREVERB_LFREFERENCE                            : 0015
AL_EAXREVERB_ROOM_ROLLOFF_FACTOR                    : 0016
AL_EAXREVERB_DECAY_HFLIMIT                          : 0017
AL_EAXREVERB_MIN_DENSITY                            : 0.0f
AL_EAXREVERB_MAX_DENSITY                            : 1.0f
AL_EAXREVERB_DEFAULT_DENSITY                        : 1.0f
AL_EAXREVERB_MIN_DIFFUSION                          : 0.0f
AL_EAXREVERB_MAX_DIFFUSION                          : 1.0f
AL_EAXREVERB_DEFAULT_DIFFUSION                      : 1.0f
AL_EAXREVERB_MIN_GAIN                               : 0.0f
AL_EAXREVERB_MAX_GAIN                               : 1.0f
AL_EAXREVERB_DEFAULT_GAIN                           : 0.32f
AL_EAXREVERB_MIN_GAINHF                             : 0.0f
AL_EAXREVERB_MAX_GAINHF                             : 1.0f
AL_EAXREVERB_DEFAULT_GAINHF                         : 0.89f
AL_EAXREVERB_MIN_GAINLF                             : 0.0f
AL_EAXREVERB_MAX_GAINLF                             : 1.0f
AL_EAXREVERB_DEFAULT_GAINLF                         : 1.0f
AL_EAXREVERB_MIN_DECAY_TIME                         : 0.1f
AL_EAXREVERB_MAX_DECAY_TIME                         : 20.0f
AL_EAXREVERB_DEFAULT_DECAY_TIME                     : 1.49f
AL_EAXREVERB_MIN_DECAY_HFRATIO                      : 0.1f
AL_EAXREVERB_MAX_DECAY_HFRATIO                      : 2.0f
AL_EAXREVERB_DEFAULT_DECAY_HFRATIO                  : 0.83f
AL_EAXREVERB_MIN_DECAY_LFRATIO                      : 0.1f
AL_EAXREVERB_MAX_DECAY_LFRATIO                      : 2.0f
AL_EAXREVERB_DEFAULT_DECAY_LFRATIO                  : 1.0f
AL_EAXREVERB_MIN_REFLECTIONS_GAIN                   : 0.0f
AL_EAXREVERB_MAX_REFLECTIONS_GAIN                   : 3.16f
AL_EAXREVERB_DEFAULT_REFLECTIONS_GAIN               : 0.05f
AL_EAXREVERB_MIN_REFLECTIONS_DELAY                  : 0.0f
AL_EAXREVERB_MAX_REFLECTIONS_DELAY                  : 0.3f
AL_EAXREVERB_DEFAULT_REFLECTIONS_DELAY              : 0.007f
AL_EAXREVERB_DEFAULT_REFLECTIONS_PAN_XYZ            : 0.0f
AL_EAXREVERB_MIN_LATE_REVERB_GAIN                   : 0.0f
AL_EAXREVERB_MAX_LATE_REVERB_GAIN                   : 10.0f
AL_EAXREVERB_DEFAULT_LATE_REVERB_GAIN               : 1.26f
AL_EAXREVERB_MIN_LATE_REVERB_DELAY                  : 0.0f
AL_EAXREVERB_MAX_LATE_REVERB_DELAY                  : 0.1f
